Job Class,Percentage,Link
Management,6.1,https://www.thebalancecareers.com/getting-a-first-management-job-2275109
Business and Financial operations,5,https://collegegrad.com/careers/business-and-financial
Computer and Mathematical,2.7,https://www.afternerd.com/blog/learn-computer-science/
Architecture and Engineering,1.7,https://www.afternerd.com/blog/learn-computer-science/
"Life, Physical and Social Science",0.9,https://medium.com/life-science-startups/how-to-start-a-life-science-company-2401f2889339
Community and Social Service,1.6,https://www.learnhowtobecome.org/social-worker/
Legal,0.8,https://www.learnhowtobecome.org/lawyer/
"Education, training and library",6.1,https://www.learnhowtobecome.org/teacher/
"Arts, design, entertainment, sports and media",1.7, https://www.forbes.com/sites/under30network/2016/03/16/5-brutally-honest-hacks-to-start-a-media-career/
Healthcare practioners and technical,5.5,https://www.artistsnetwork.com/art-inspiration/getting-started-artist-inspiration/
Healthcare support,2.8,https://www.verywellhealth.com/break-into-a-healthcare-career-1736038
Protective service,2.3,https://www.learnhowtobecome.org/police-officer/
Food preparation and serving,8.3,https://collegegrad.com/careers/food-preparation-workers
Building and grounds cleaning and maintenance,3.7,https://study.com/articles/Become_a_Labor_Maintenance_Worker_Step-by-Step_Career_Guide.html
Personal care and service,4,https://www.learnhowtobecome.org/personal-trainer/
Sales,10.2,https://blog.hubspot.com/sales/habits-to-become-a-more-effective-salesperson
Office and administrative support,15.1,https://study.com/articles/How_to_Become_a_Certified_Office_Manager.html
"Farming, fishing and forestry",0.6,https://money.howstuffworks.com/how-to-become-fishing-guide.htm
Construction and extraction,4.3,https://work.chron.com/training-needed-become-construction-worker-15831.html
"Installation, maintenance and repair",3.8,https://www.vocationaltraininghq.com/how-to-become/appliance-repair-technician/
Production,6.1,https://study.com/become_a_production_assistant.htmlv
Transportation and material moving,6.5,https://www.brightnetwork.co.uk/career-path-guides/technology-it-software-development/top-skills-excel-technology-sector/what-it-means-be-technical-and-how-become-better-it/
Total,99.8,"dd"
